INFO:root:2022-06-27 13:42:49.946237 willerk started
INFO:root:2022-06-27 13:42:51.612965 -- Extraction complete in 1.4249110221862793 seconds
INFO:root:2022-06-27 13:44:11.844762 -- orders treated for INSERTION in 80.23079586029053 seconds
INFO:root:2022-06-27 13:44:27.317960 -- 74 orders inserted in 15.472198247909546 seconds
INFO:root:2022-06-27 13:44:32.802773 -- Extraction complete in 5.483815670013428 seconds
INFO:root:2022-06-27 13:44:32.810769 -- orders treated for UPDATE in 0.002992391586303711 seconds
INFO:root:2022-06-27 13:44:39.991289 -- 2 status updated in 7.176523447036743 seconds
INFO:root:2022-06-27 13:44:39.991289 -- willerk complete in 110.04505228996277 seconds
INFO:root:2022-06-27 13:44:39.992290 sawaryb2c started
INFO:root:2022-06-27 13:44:41.206363 -- Extraction complete in 1.0492007732391357 seconds
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126326swar-01 HTTP/1.1" 200 15398
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126329swar-01 HTTP/1.1" 200 11581
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126333swar-01 HTTP/1.1" 200 8350
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126339swar-01 HTTP/1.1" 200 12301
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126342swar-01 HTTP/1.1" 200 8629
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126348swar-01 HTTP/1.1" 200 19316
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126394swar-01 HTTP/1.1" 200 8340
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126399swar-01 HTTP/1.1" 200 8266
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126401swar-01 HTTP/1.1" 200 8939
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126409swar-01 HTTP/1.1" 200 8689
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126415swar-01 HTTP/1.1" 200 8347
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126438swar-01 HTTP/1.1" 200 9622
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126441swar-01 HTTP/1.1" 200 8500
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126445swar-01 HTTP/1.1" 200 8886
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126449swar-01 HTTP/1.1" 200 8683
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126453swar-01 HTTP/1.1" 200 8421
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126468swar-01 HTTP/1.1" 200 11718
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126480swar-01 HTTP/1.1" 200 8645
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126484swar-01 HTTP/1.1" 200 8944
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders/v1126493swar-01 HTTP/1.1" 200 12546
INFO:root:2022-06-27 13:45:26.288364 -- orders treated for INSERTION in 45.082000494003296 seconds
DEBUG:urllib3.util.retry:Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
DEBUG:google.auth.transport.requests:Making request: POST https://oauth2.googleapis.com/token
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): oauth2.googleapis.com:443
DEBUG:urllib3.connectionpool:https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): bigquery.googleapis.com:443
DEBUG:urllib3.connectionpool:https://bigquery.googleapis.com:443 "POST /bigquery/v2/projects/sacred-drive-353312/datasets/Orders/tables/sawaryb2c/insertAll?prettyPrint=false HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:https://bigquery.googleapis.com:443 "POST /bigquery/v2/projects/sacred-drive-353312/datasets/Orders/tables/sawaryb2c/insertAll?prettyPrint=false HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:https://bigquery.googleapis.com:443 "POST /bigquery/v2/projects/sacred-drive-353312/datasets/Orders/tables/sawaryb2c/insertAll?prettyPrint=false HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:https://bigquery.googleapis.com:443 "POST /bigquery/v2/projects/sacred-drive-353312/datasets/Orders/tables/sawaryb2c/insertAll?prettyPrint=false HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:https://bigquery.googleapis.com:443 "POST /bigquery/v2/projects/sacred-drive-353312/datasets/Orders/tables/sawaryb2c/insertAll?prettyPrint=false HTTP/1.1" 200 None
